TEAM ID,FILE ID,AFS FILE,OFFSET
122,367,0_SOUND.AFS,3151880
123,367,0_SOUND.AFS,3151884
124,602,0_SOUND.AFS,3151888
125,677,0_SOUND.AFS,3151892
126,312,0_SOUND.AFS,3151896
127,312,0_SOUND.AFS,3151900
128,312,0_SOUND.AFS,3151904
129,312,0_SOUND.AFS,3151908
130,312,0_SOUND.AFS,3151912
131,312,0_SOUND.AFS,3151916
132,312,0_SOUND.AFS,3151920
133,312,0_SOUND.AFS,3151924
134,607,0_SOUND.AFS,3151928
135,312,0_SOUND.AFS,3151932
136,312,0_SOUND.AFS,3151936
137,312,0_SOUND.AFS,3151940
138,312,0_SOUND.AFS,3151944
139,312,0_SOUND.AFS,3151948
140,312,0_SOUND.AFS,3151952
141,312,0_SOUND.AFS,3151956
142,357,0_SOUND.AFS,3151960
143,357,0_SOUND.AFS,3151964
